Custom_Age,Sex,Physically_attacked,Physical_fighting,Felt_lonely,Close_friends,Miss_school_no_permission,Other_students_kind_and_helpful,Parents_understand_problems,Most_of_the_time_or_always_felt_lonely,Missed_classes_or_school_without_permission,Bullied_at_least_once
0.42857142857142855,1.0,0.0,0.14285714285714285,1.0,0.3333333333333333,0.75,0.0,1.0,0.0,1.0,1.0
0.2857142857142857,1.0,0.0,0.0,0.5,1.0,0.0,1.0,0.25,0.0,0.0,0.0
0.2857142857142857,0.0,0.0,0.14285714285714285,0.25,0.6666666666666666,0.0,0.75,1.0,1.0,0.0,1.0
0.2857142857142857,1.0,0.0,0.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0
0.2857142857142857,1.0,0.0,0.0,0.5,1.0,0.0,0.25,0.0,0.0,0.0,0.0
0.42857142857142855,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.25,1.0,0.0,1.0
0.42857142857142855,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2857142857142857,1.0,0.0,0.14285714285714285,0.5,1.0,0.75,0.0,0.5,0.0,1.0,0.0
0.42857142857142855,1.0,0.0,0.0,0.5,1.0,0.25,0.0,0.5,0.0,1.0,0.0
0.42857142857142855,1.0,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.42857142857142855,1.0,0.0,0.14285714285714285,0.25,1.0,0.0,0.75,0.75,1.0,0.0,1.0
0.42857142857142855,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0
0.42857142857142855,1.0,0.0,0.0,0.5,0.6666666666666666,0.0,1.0,0.25,0.0,0.0,0.0
0.2857142857142857,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,1.0
0.2857142857142857,0.0,0.0,0.0,1.0,1.0,0.0,0.25,0.5,0.0,0.0,0.0
0.2857142857142857,0.0,0.0,0.0,0.5,1.0,0.0,0.25,0.0,0.0,0.0,0.0
0.42857142857142855,1.0,0.0,0.0,0.5,1.0,0.0,0.25,0.25,0.0,0.0,1.0
0.2857142857142857,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,0.75,1.0,0.0,1.0
0.42857142857142855,0.0,0.0,0.14285714285714285,0.75,0.0,0.25,0.0,0.5,0.0,1.0,1.0
0.2857142857142857,0.0,0.0,0.0,1.0,1.0,0.0,0.75,0.25,0.0,0.0,1.0
0.2857142857142857,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.75,1.0,0.0,0.0,0.0
0.5714285714285714,1.0,0.14285714285714285,0.0,0.25,1.0,0.0,0.25,0.75,1.0,0.0,1.0
0.2857142857142857,1.0,0.0,0.8571428571428571,0.5,1.0,1.0,0.25,0.25,0.0,1.0,0.0
0.2857142857142857,0.0,0.5714285714285714,0.42857142857142855,1.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0
0.2857142857142857,1.0,0.0,0.14285714285714285,0.5,1.0,0.25,0.0,0.0,0.0,1.0,0.0
0.42857142857142855,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
0.2857142857142857,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
0.2857142857142857,1.0,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2857142857142857,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0,0.0,1.0
0.2857142857142857,1.0,0.0,0.0,0.25,1.0,0.0,0.25,0.25,1.0,0.0,1.0
0.2857142857142857,0.0,0.0,0.0,0.5,1.0,0.25,0.0,0.25,0.0,1.0,0.0
0.2857142857142857,1.0,0.0,0.14285714285714285,0.75,1.0,0.25,0.5,1.0,0.0,1.0,1.0
0.2857142857142857,0.0,0.0,0.0,0.25,0.0,0.25,0.75,0.0,1.0,1.0,0.0
0.2857142857142857,1.0,0.0,0.0,0.5,0.6666666666666666,0.0,0.75,0.75,0.0,0.0,0.0
0.42857142857142855,1.0,0.0,0.0,0.5,1.0,1.0,0.75,1.0,0.0,1.0,0.0
0.5714285714285714,1.0,0.0,0.0,0.5,1.0,0.0,0.25,0.0,0.0,0.0,0.0
0.5714285714285714,1.0,0.0,0.14285714285714285,0.5,1.0,0.25,1.0,0.0,0.0,1.0,1.0
0.42857142857142855,1.0,0.0,0.0,0.5,1.0,0.0,0.25,1.0,0.0,0.0,0.0
0.42857142857142855,1.0,0.7142857142857143,0.7142857142857143,0.75,1.0,0.0,1.0,1.0,0.0,0.0,0.0
0.42857142857142855,1.0,0.14285714285714285,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.42857142857142855,0.0,0.0,0.0,0.5,1.0,0.0,0.25,0.0,0.0,0.0,0.0
0.42857142857142855,1.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.75,0.25,0.0,0.0,1.0
0.42857142857142855,1.0,0.0,0.14285714285714285,0.75,1.0,0.0,0.25,0.0,0.0,0.0,1.0
0.42857142857142855,1.0,0.0,0.0,0.25,1.0,0.0,0.25,0.75,1.0,0.0,1.0
0.42857142857142855,1.0,0.0,0.14285714285714285,0.5,1.0,0.0,0.75,0.0,0.0,0.0,0.0
0.5714285714285714,1.0,0.0,0.0,0.75,1.0,0.0,0.75,0.25,0.0,0.0,0.0
0.42857142857142855,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.25,0.0,0.0,1.0
0.42857142857142855,0.0,0.0,0.14285714285714285,0.75,1.0,0.0,0.75,0.25,0.0,0.0,1.0
0.42857142857142855,1.0,0.0,0.0,0.75,1.0,0.0,0.25,0.25,0.0,0.0,1.0
0.42857142857142855,1.0,0.0,0.0,0.5,1.0,0.0,0.75,0.0,0.0,0.0,0.0
0.5714285714285714,1.0,0.0,0.0,0.5,1.0,0.25,0.75,1.0,0.0,1.0,1.0
0.42857142857142855,0.0,0.0,0.0,1.0,1.0,0.25,1.0,0.75,0.0,1.0,1.0
0.42857142857142855,0.0,0.14285714285714285,0.14285714285714285,0.0,1.0,0.0,0.5,0.5,1.0,0.0,1.0
0.5714285714285714,1.0,0.0,0.0,0.75,1.0,0.0,0.25,0.0,0.0,0.0,0.0
0.42857142857142855,1.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.42857142857142855,1.0,0.0,0.14285714285714285,0.75,0.6666666666666666,0.0,0.75,0.75,0.0,0.0,0.0
0.42857142857142855,0.0,0.0,0.0,0.5,1.0,0.0,0.25,0.0,0.0,0.0,0.0
0.42857142857142855,1.0,0.0,0.7142857142857143,0.5,1.0,0.0,1.0,0.75,0.0,0.0,0.0
0.42857142857142855,1.0,0.0,0.0,0.75,1.0,0.0,0.25,1.0,0.0,0.0,0.0
0.42857142857142855,1.0,0.5714285714285714,0.0,1.0,1.0,0.0,0.25,0.25,0.0,0.0,1.0
0.42857142857142855,0.0,0.0,0.0,0.25,0.6666666666666666,0.0,1.0,0.75,1.0,0.0,0.0
0.42857142857142855,1.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.25,0.25,0.0,0.0,0.0
0.42857142857142855,1.0,0.0,0.0,1.0,1.0,0.0,0.25,0.5,0.0,0.0,0.0
0.42857142857142855,1.0,0.0,0.0,0.5,1.0,0.0,0.75,0.5,0.0,0.0,1.0
0.42857142857142855,1.0,0.0,0.0,0.5,1.0,0.0,0.25,0.25,0.0,0.0,0.0
0.42857142857142855,1.0,0.14285714285714285,0.0,1.0,1.0,0.0,0.25,0.75,0.0,0.0,1.0
0.5714285714285714,0.0,0.0,0.0,0.25,1.0,0.0,0.75,0.75,1.0,0.0,0.0
0.42857142857142855,0.0,0.0,0.0,0.25,1.0,0.0,0.75,0.75,1.0,0.0,0.0
0.42857142857142855,1.0,0.5714285714285714,0.14285714285714285,0.25,1.0,0.0,1.0,0.75,1.0,0.0,1.0
0.42857142857142855,1.0,0.0,0.0,0.25,0.3333333333333333,0.0,0.25,0.0,1.0,0.0,1.0
0.42857142857142855,0.0,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5714285714285714,1.0,0.5714285714285714,0.0,0.5,1.0,0.0,0.25,0.0,0.0,0.0,0.0
0.42857142857142855,1.0,0.0,0.0,0.5,1.0,0.25,0.25,0.75,0.0,1.0,0.0
0.5714285714285714,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,1.0,0.0,1.0
0.5714285714285714,0.0,0.42857142857142855,0.7142857142857143,1.0,1.0,0.0,0.75,0.75,0.0,0.0,0.0
0.5714285714285714,1.0,0.0,0.0,0.5,0.0,0.25,0.0,1.0,0.0,1.0,0.0
0.42857142857142855,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7142857142857143,1.0,0.0,0.5714285714285714,1.0,1.0,0.25,1.0,0.5,0.0,1.0,0.0
0.7142857142857143,1.0,0.0,0.14285714285714285,0.5,0.3333333333333333,0.25,0.75,0.75,0.0,1.0,1.0
0.7142857142857143,1.0,0.0,0.0,0.5,1.0,0.0,0.25,0.0,0.0,0.0,0.0
0.7142857142857143,1.0,0.0,0.14285714285714285,0.0,1.0,0.75,0.75,0.5,1.0,1.0,0.0
0.7142857142857143,1.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.75,1.0,0.0,0.0,0.0
0.5714285714285714,1.0,0.0,0.0,1.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0
0.5714285714285714,0.0,0.14285714285714285,0.0,0.25,1.0,0.0,0.25,0.25,1.0,0.0,1.0
0.5714285714285714,1.0,0.0,0.0,0.5,1.0,0.25,0.0,0.0,0.0,1.0,0.0
0.5714285714285714,1.0,0.0,0.0,0.75,1.0,0.0,0.25,0.25,0.0,0.0,0.0
0.7142857142857143,0.0,0.0,0.0,0.75,1.0,0.0,0.25,1.0,0.0,0.0,0.0
0.8571428571428571,1.0,0.0,0.0,1.0,0.6666666666666666,0.25,0.75,1.0,0.0,1.0,0.0
0.5714285714285714,0.0,0.0,0.0,0.25,0.3333333333333333,0.0,1.0,0.5,1.0,0.0,1.0
0.5714285714285714,0.0,0.0,0.0,0.25,0.0,0.0,1.0,0.5,1.0,0.0,0.0
0.5714285714285714,1.0,0.0,0.0,0.25,0.0,0.0,0.5,1.0,1.0,0.0,0.0
0.5714285714285714,1.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.7142857142857143,1.0,0.0,0.5714285714285714,0.5,1.0,0.25,0.25,0.25,0.0,1.0,0.0
0.5714285714285714,1.0,0.0,0.0,0.75,1.0,0.0,0.25,0.25,0.0,0.0,0.0
0.7142857142857143,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.25,0.25,0.0,0.0,1.0
0.8571428571428571,1.0,0.5714285714285714,0.0,0.75,1.0,0.0,1.0,1.0,0.0,0.0,1.0
0.5714285714285714,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
0.7142857142857143,1.0,0.0,0.14285714285714285,1.0,1.0,0.0,0.25,0.25,0.0,0.0,0.0
0.7142857142857143,1.0,0.0,0.0,1.0,1.0,0.0,0.75,1.0,0.0,0.0,0.0
0.8571428571428571,1.0,0.5714285714285714,0.0,1.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,1.0
0.7142857142857143,1.0,0.0,0.0,0.75,0.6666666666666666,0.0,0.25,0.75,0.0,0.0,0.0
0.7142857142857143,0.0,0.0,0.0,0.75,1.0,0.0,0.75,0.0,0.0,0.0,0.0
0.5714285714285714,0.0,0.0,0.14285714285714285,1.0,1.0,0.0,0.25,0.75,0.0,0.0,0.0
0.7142857142857143,1.0,0.0,0.0,1.0,1.0,0.25,1.0,0.75,0.0,1.0,1.0
0.7142857142857143,1.0,0.0,0.5714285714285714,1.0,1.0,0.75,1.0,0.75,0.0,1.0,0.0
0.7142857142857143,1.0,0.14285714285714285,0.0,0.0,0.6666666666666666,1.0,0.25,0.5,1.0,1.0,1.0
0.5714285714285714,0.0,0.0,0.0,0.25,0.3333333333333333,1.0,1.0,0.5,1.0,1.0,1.0
0.7142857142857143,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.75,1.0,0.0,0.0,0.0
0.7142857142857143,1.0,0.0,0.5714285714285714,0.75,0.6666666666666666,0.0,0.75,0.5,0.0,0.0,1.0
0.5714285714285714,0.0,0.0,0.0,1.0,1.0,0.25,0.75,1.0,0.0,1.0,0.0
0.7142857142857143,1.0,0.0,0.0,1.0,0.6666666666666666,0.25,1.0,0.5,0.0,1.0,0.0
0.5714285714285714,1.0,0.5714285714285714,0.5714285714285714,0.25,0.6666666666666666,0.25,1.0,0.25,1.0,1.0,1.0
0.5714285714285714,1.0,0.0,0.0,0.75,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,0.0
0.7142857142857143,1.0,0.0,0.0,0.5,0.6666666666666666,0.0,0.25,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.5714285714285714,0.5,1.0,0.25,1.0,0.25,0.0,1.0,0.0
0.7142857142857143,0.0,0.0,0.0,1.0,1.0,0.75,1.0,1.0,0.0,1.0,1.0
0.7142857142857143,1.0,0.0,0.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0
1.0,1.0,0.0,0.0,0.75,0.3333333333333333,0.25,0.0,1.0,0.0,1.0,0.0
0.8571428571428571,1.0,0.0,0.0,0.5,1.0,0.0,0.25,0.0,0.0,0.0,0.0
0.8571428571428571,1.0,0.0,0.14285714285714285,1.0,1.0,0.75,1.0,0.75,0.0,1.0,1.0
0.7142857142857143,0.0,0.0,0.0,1.0,0.6666666666666666,0.25,0.0,0.25,0.0,1.0,1.0
0.7142857142857143,1.0,0.0,0.0,0.5,1.0,0.0,0.25,0.5,0.0,0.0,1.0
0.7142857142857143,0.0,0.0,0.0,0.75,1.0,0.0,0.75,1.0,0.0,0.0,0.0
0.7142857142857143,1.0,0.0,0.0,0.5,0.3333333333333333,0.0,1.0,0.25,0.0,0.0,0.0
0.7142857142857143,1.0,0.0,0.0,0.75,1.0,0.75,1.0,0.5,0.0,1.0,0.0
0.8571428571428571,1.0,0.0,0.0,0.5,0.3333333333333333,0.75,0.0,0.75,0.0,1.0,0.0
0.7142857142857143,1.0,0.0,0.0,0.75,0.3333333333333333,0.0,0.25,0.25,0.0,0.0,0.0
0.8571428571428571,1.0,0.0,0.0,0.5,0.3333333333333333,0.25,0.75,0.75,0.0,1.0,0.0
1.0,1.0,0.5714285714285714,0.0,1.0,1.0,0.75,0.75,0.5,0.0,1.0,0.0
0.7142857142857143,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.8571428571428571,1.0,0.5714285714285714,0.5714285714285714,1.0,1.0,0.0,1.0,0.25,0.0,0.0,1.0
0.8571428571428571,1.0,0.0,0.0,0.75,0.6666666666666666,0.0,1.0,0.25,0.0,0.0,1.0
0.7142857142857143,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.75,1.0,1.0,0.0,1.0
0.7142857142857143,1.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.75,0.0,0.0,0.0,0.0
0.7142857142857143,1.0,0.0,0.0,0.5,1.0,0.75,0.0,0.0,0.0,1.0,1.0
0.8571428571428571,1.0,0.0,0.0,1.0,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,1.0
0.7142857142857143,1.0,0.7142857142857143,0.0,0.75,1.0,0.0,0.25,0.25,0.0,0.0,1.0
0.7142857142857143,1.0,0.14285714285714285,0.5714285714285714,0.75,0.6666666666666666,0.0,0.75,0.75,0.0,0.0,1.0
1.0,1.0,0.0,0.0,0.5,1.0,0.25,0.0,0.0,0.0,1.0,0.0
1.0,0.0,0.14285714285714285,0.5714285714285714,0.75,0.6666666666666666,0.0,1.0,0.5,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.5,1.0,0.25,1.0,0.0,0.0,1.0,0.0
0.8571428571428571,1.0,0.0,0.0,0.75,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.8571428571428571,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
0.8571428571428571,1.0,0.0,0.0,0.75,1.0,0.25,0.25,0.75,0.0,1.0,1.0
1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.75,0.0,0.0,0.0,0.0
0.8571428571428571,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.25,1.0,0.5,0.25,1.0,1.0,1.0,1.0
1.0,1.0,0.0,0.0,0.75,0.6666666666666666,0.25,0.25,0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,0.75,1.0,1.0,0.0,1.0,0.0,1.0,0.0
0.8571428571428571,0.0,0.0,0.0,0.25,1.0,0.5,0.25,0.5,1.0,1.0,1.0
0.8571428571428571,1.0,0.0,0.0,1.0,0.6666666666666666,0.25,0.25,1.0,0.0,1.0,0.0
0.8571428571428571,1.0,0.0,0.5714285714285714,0.25,0.0,0.25,0.75,0.25,1.0,1.0,0.0
1.0,1.0,0.0,0.0,0.5,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.25,1.0,0.0,0.25,0.5,1.0,0.0,1.0
0.8571428571428571,1.0,0.0,0.0,0.5,1.0,0.25,0.25,0.25,0.0,1.0,0.0
0.8571428571428571,1.0,0.0,0.0,0.75,1.0,0.0,0.25,0.0,0.0,0.0,1.0
1.0,1.0,0.0,0.0,0.5,1.0,0.75,0.75,0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,0.0
0.2857142857142857,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0
0.2857142857142857,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.25,0.0,0.0,0.0
0.2857142857142857,0.0,0.14285714285714285,0.0,0.5,1.0,0.0,1.0,0.75,0.0,0.0,0.0
0.5714285714285714,1.0,0.0,0.0,1.0,1.0,0.25,1.0,0.75,0.0,1.0,0.0
0.2857142857142857,1.0,0.0,0.0,0.75,1.0,0.0,0.25,1.0,0.0,0.0,0.0
0.2857142857142857,0.0,0.0,0.0,0.25,0.3333333333333333,0.75,0.0,1.0,1.0,1.0,0.0
0.42857142857142855,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.25,0.0,0.0,1.0
0.2857142857142857,1.0,0.0,0.0,0.5,1.0,0.0,0.25,0.0,0.0,0.0,0.0
0.42857142857142855,1.0,0.0,0.0,0.5,1.0,0.25,1.0,0.5,0.0,1.0,0.0
0.2857142857142857,1.0,0.14285714285714285,0.0,0.5,1.0,0.0,0.25,0.25,0.0,0.0,1.0
0.5714285714285714,1.0,0.0,0.0,0.5,1.0,0.0,0.5,0.5,0.0,0.0,1.0
0.2857142857142857,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.25,0.0,0.0,0.0
0.2857142857142857,0.0,0.0,0.0,0.25,1.0,0.0,0.75,0.75,1.0,0.0,1.0
0.2857142857142857,1.0,0.0,0.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0
0.2857142857142857,1.0,0.14285714285714285,0.0,0.75,1.0,0.0,1.0,0.25,0.0,0.0,0.0
0.42857142857142855,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.75,0.0,0.0,0.0
0.2857142857142857,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2857142857142857,1.0,0.5714285714285714,0.0,0.25,1.0,0.25,0.75,0.5,1.0,1.0,1.0
0.2857142857142857,0.0,0.0,0.0,0.25,1.0,0.0,0.25,0.5,1.0,0.0,0.0
0.42857142857142855,1.0,0.0,0.0,0.5,0.6666666666666666,0.0,0.25,0.25,0.0,0.0,0.0
0.42857142857142855,0.0,0.0,0.5714285714285714,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0
0.7142857142857143,1.0,0.0,0.0,0.5,1.0,0.0,0.25,0.0,0.0,0.0,1.0
0.42857142857142855,0.0,0.14285714285714285,0.0,1.0,1.0,0.0,0.25,0.0,0.0,0.0,1.0
0.7142857142857143,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5714285714285714,1.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.25,1.0,0.0,0.0,0.0
0.42857142857142855,1.0,0.0,0.0,0.75,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.42857142857142855,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0
0.8571428571428571,1.0,0.14285714285714285,0.0,0.25,1.0,0.5,0.75,0.5,1.0,1.0,1.0
0.7142857142857143,1.0,0.0,0.0,0.75,1.0,0.25,0.75,1.0,0.0,1.0,0.0
0.42857142857142855,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.42857142857142855,0.0,0.0,0.14285714285714285,0.25,0.3333333333333333,0.0,0.25,0.75,1.0,0.0,1.0
0.8571428571428571,1.0,0.0,0.7142857142857143,1.0,1.0,0.75,0.5,0.75,0.0,1.0,0.0
0.42857142857142855,0.0,0.0,0.0,1.0,1.0,0.0,0.75,0.0,0.0,0.0,1.0
0.42857142857142855,1.0,0.0,0.0,0.75,1.0,0.0,0.25,1.0,0.0,0.0,0.0
0.5714285714285714,1.0,0.14285714285714285,0.0,1.0,1.0,0.75,0.25,1.0,0.0,1.0,0.0
0.42857142857142855,1.0,0.0,0.0,0.75,1.0,0.0,0.25,1.0,0.0,0.0,0.0
0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,1.0,0.0,0.0
0.42857142857142855,0.0,0.0,0.0,0.5,1.0,0.0,0.25,0.0,0.0,0.0,0.0
0.42857142857142855,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.75,0.0,0.0,1.0
0.42857142857142855,1.0,0.0,0.0,0.75,0.6666666666666666,0.0,0.75,0.25,0.0,0.0,0.0
0.5714285714285714,0.0,0.14285714285714285,0.0,1.0,1.0,0.0,0.25,0.0,0.0,0.0,1.0
0.42857142857142855,1.0,0.0,0.0,0.5,1.0,0.25,0.0,1.0,0.0,1.0,0.0
0.5714285714285714,1.0,0.0,0.14285714285714285,0.5,0.6666666666666666,0.75,0.75,0.75,0.0,1.0,1.0
0.7142857142857143,1.0,0.0,0.0,0.5,0.6666666666666666,0.0,0.25,0.0,0.0,0.0,0.0
0.42857142857142855,1.0,0.0,0.14285714285714285,0.5,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.0
0.42857142857142855,0.0,0.0,0.0,1.0,1.0,0.75,0.75,0.5,0.0,1.0,1.0
0.42857142857142855,1.0,0.0,0.0,0.5,0.0,0.0,0.25,0.75,0.0,0.0,0.0
0.42857142857142855,1.0,0.0,0.0,0.5,1.0,0.25,0.25,0.5,0.0,1.0,0.0
0.42857142857142855,1.0,0.0,0.0,0.5,1.0,0.0,0.25,0.0,0.0,0.0,0.0
0.42857142857142855,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
0.42857142857142855,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0
0.5714285714285714,1.0,0.14285714285714285,0.14285714285714285,1.0,1.0,0.25,1.0,0.25,0.0,1.0,1.0
0.42857142857142855,0.0,0.8571428571428571,0.14285714285714285,1.0,1.0,0.75,1.0,1.0,0.0,1.0,1.0
0.42857142857142855,0.0,0.0,0.0,1.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0
0.7142857142857143,0.0,0.0,0.5714285714285714,1.0,0.6666666666666666,0.0,0.25,1.0,0.0,0.0,1.0
0.8571428571428571,1.0,0.0,0.14285714285714285,1.0,1.0,0.25,0.25,1.0,0.0,1.0,0.0
0.5714285714285714,0.0,0.0,0.0,0.0,0.6666666666666666,0.25,0.0,0.75,1.0,1.0,0.0
0.7142857142857143,1.0,0.0,0.0,0.5,0.6666666666666666,0.0,0.75,0.5,0.0,0.0,0.0
0.42857142857142855,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.25,0.0,0.0,0.0
0.8571428571428571,1.0,0.7142857142857143,0.14285714285714285,1.0,0.6666666666666666,0.5,0.25,0.5,0.0,1.0,0.0
0.42857142857142855,0.0,0.0,0.0,0.25,0.6666666666666666,0.0,0.75,0.5,1.0,0.0,1.0
0.5714285714285714,1.0,0.0,0.0,0.5,1.0,0.75,0.25,0.5,0.0,1.0,0.0
0.5714285714285714,1.0,0.7142857142857143,0.2857142857142857,1.0,1.0,0.0,0.75,0.75,0.0,0.0,1.0
0.5714285714285714,1.0,0.5714285714285714,0.8571428571428571,0.5,1.0,0.0,0.25,0.0,0.0,0.0,0.0
0.5714285714285714,1.0,0.0,0.0,0.75,0.6666666666666666,0.75,0.0,1.0,0.0,1.0,0.0
0.5714285714285714,1.0,0.0,0.0,0.5,1.0,0.25,0.25,0.0,0.0,1.0,1.0
0.7142857142857143,0.0,0.0,0.0,0.25,1.0,0.25,0.25,0.5,1.0,1.0,1.0
0.7142857142857143,0.0,0.0,0.0,0.25,0.6666666666666666,0.25,1.0,0.5,1.0,1.0,0.0
0.5714285714285714,1.0,0.0,0.0,0.5,1.0,0.25,0.0,1.0,0.0,1.0,0.0
0.5714285714285714,0.0,0.5714285714285714,0.0,0.0,0.6666666666666666,0.0,0.75,0.5,1.0,0.0,1.0
0.8571428571428571,0.0,0.14285714285714285,0.5714285714285714,0.25,0.6666666666666666,0.25,1.0,0.5,1.0,1.0,1.0
0.7142857142857143,1.0,0.0,0.0,0.75,0.6666666666666666,0.25,0.75,1.0,0.0,1.0,0.0
0.7142857142857143,1.0,0.0,0.14285714285714285,0.5,1.0,0.0,0.75,0.75,0.0,0.0,0.0
0.5714285714285714,1.0,0.0,0.0,1.0,1.0,0.25,1.0,0.5,0.0,1.0,0.0
0.5714285714285714,1.0,0.0,0.0,0.75,1.0,0.25,0.25,0.0,0.0,1.0,1.0
0.7142857142857143,1.0,0.0,0.0,0.75,1.0,0.25,1.0,0.75,0.0,1.0,0.0
0.5714285714285714,1.0,0.0,0.0,0.75,1.0,0.25,1.0,0.75,0.0,1.0,0.0
0.5714285714285714,1.0,0.0,0.0,0.25,1.0,0.25,0.25,0.0,1.0,1.0,0.0
0.5714285714285714,0.0,0.0,0.0,0.25,1.0,0.0,1.0,1.0,1.0,0.0,0.0
0.5714285714285714,0.0,0.0,0.0,0.25,1.0,0.0,1.0,0.5,1.0,0.0,0.0
0.5714285714285714,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0
0.8571428571428571,1.0,0.0,0.14285714285714285,0.5,1.0,0.25,0.75,1.0,0.0,1.0,0.0
0.8571428571428571,1.0,0.7142857142857143,0.0,0.25,1.0,0.25,0.25,0.5,1.0,1.0,0.0
0.8571428571428571,1.0,0.7142857142857143,0.0,0.5,1.0,0.0,0.0,0.5,0.0,0.0,0.0
0.7142857142857143,1.0,0.0,0.0,0.5,1.0,0.0,1.0,0.5,0.0,0.0,0.0
0.7142857142857143,1.0,0.0,0.0,0.5,1.0,0.25,0.75,0.5,0.0,1.0,0.0
0.7142857142857143,1.0,0.0,0.0,0.75,1.0,0.0,0.75,0.5,0.0,0.0,1.0
1.0,1.0,0.0,0.5714285714285714,1.0,1.0,0.5,0.25,1.0,0.0,1.0,0.0
0.7142857142857143,0.0,0.0,0.0,0.75,1.0,0.0,1.0,1.0,0.0,0.0,0.0
0.7142857142857143,1.0,0.0,0.0,1.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0
